295_C,5,5,6,7,8,3429634,3883442,3996890,4152830
arrow-and-the-echelon-1,5,5,8,7,6,3714524,3841785,3922400,4778858
3-types,5,5,7,8,6,3523887,3562070,3702479,4149824
358_B,8,8,7,5,6,3466768,3564483,4331158,5592582
sets,8,8,5,7,6,1112982896,1122480428,1123747356,1136903135
crazy-matrix,8,8,7,5,6,3531051,3618593,4198833,4539256
rajat-and-his-fantasy-world-8,6,6,7,8,5,3058338,3537582,4176908,5103547
566_B,7,7,5,6,8,4995467,5904790,5911622,5972460
little-jhool-and-manchester-united,5,5,7,6,8,3075817,3678337,4487604,5793754
coded-messages,7,7,8,5,6,36340986,37871761,38001411,38956924
staircase-problem-2,5,5,8,6,7,2995949,3079274,3343995,3868698
207_C3,5,5,7,6,8,3930550,4036636,4793357,6083085
love-letter,5,5,7,6,8,3417273,3481690,3668294,4194640
558_A,6,6,7,8,5,3112226,3647188,5306463,126684221
567_A,5,5,6,7,8,3860261,4289095,4605183,4895421
complete-string-4,7,7,5,8,6,3552047,3727311,4072700,4481030
25_E,5,5,8,6,7,2894457,3869810,4096918,4290254
find-the-triangle-3,8,8,5,6,7,4046721,4096671,4192048,4607466
404_E,5,5,7,8,6,6768656,6914235,7234537,7266597
digit-lover,6,6,7,5,8,3713595,4415965,4563433,4779751
beginners-task,5,5,8,7,6,3245594,4015648,4112969,4750748
656_B,7,7,6,8,5,4133228,4196579,4314500,6351009
terminators,8,8,5,7,6,3428327,3848609,3948042,4115220
599_B,5,5,8,7,6,3371170,3486631,3971813,4415404
620_E,6,6,7,5,8,21123186,21820675,22821409,23221119
700_A,6,6,8,5,7,3385237,4425616,4505883,4569034
get-the-1,6,6,8,5,7,100422008,105879027,109365352,109816428
egg-strength,6,6,8,5,7,810876984,814084059,819821095,820513218
prime-sum-1,6,6,5,8,7,3077427,3218289,3508743,4257522
gods-monsters-juneclash,7,7,5,6,8,3859820,4543698,4770843,4809144
85_E,6,6,5,7,8,3556916,3736482,4360168,5282611
435_A,8,8,5,7,6,3469752,4077840,4296881,5351969
game-of-thornes,5,5,7,6,8,3659017,3949202,4808302,5798407
91_A,6,6,8,5,7,4251496,4765549,4768636,5168356
criminals-little-deepu-and-little-kuldeep,8,8,5,6,7,3612630,4252460,4305036,5135401
substring,7,7,8,6,5,3514793,3584154,3618205,3829841
the-tiled-footpath-on-marine-drive,7,7,8,5,6,2827237,3566441,3701442,4233326
8_C,5,5,7,8,6,3694731,4052047,4134500,4548731
567_E,6,6,7,5,8,30442422,34728532,36586575,37040746
use-bit,5,5,8,6,7,36766124,38106653,43192183,46886913
665_C,5,5,7,6,8,3364722,3566944,3799486,3873826
fun-with-string,5,5,7,6,8,3207246,3471431,3760882,4381651
463_B,6,6,5,8,7,3607650,3843156,4158145,4324901
513_E2,6,6,5,7,8,3212687,3396811,3559504,3960425
546_E,7,7,5,8,6,4562828,5728896,6181347,8203590
k-arrays,7,7,5,8,6,41911576,47883592,47996651,48375929
find-the-flow,6,6,7,5,8,131658671,132974387,133085294,135825893
sub-aaray-waala,7,7,8,6,5,6347048,6753863,6919686,8556021
76_C,6,6,5,7,8,3340764,3768660,4292484,4781748
290_E,5,5,6,8,7,2846789,3335745,3616511,4522016
58_E,8,8,5,7,6,8369315,8568273,9505057,9697663
98_B,5,5,6,8,7,4201166,4320950,4370170,4483057
24_E,5,5,7,8,6,3258365,3550543,3984001,4411706
576_D,5,5,7,8,6,2958605,3378377,4023128,5234718
585_C,5,5,8,6,7,3684452,3919493,3947731,4358584
miss-dd-and-her-mysterious-numbers,6,6,8,5,7,4319926,4451094,4552162,5447025
the-art-of-security-4,8,8,5,6,7,3186643,3510533,3657142,4074178
vanya-and-gcd-array,5,5,6,7,8,417257293,423262861,424835621,425368925
626_A,6,6,5,8,7,3428287,3576712,4017731,4255216
bear-and-bowling-3,5,5,6,7,8,7905940,8378231,8531187,9297187
paint-mixing-1,7,7,6,5,8,3888642,4179828,4362052,4841506
204_E,7,7,6,5,8,5728452,7256170,7299493,7446894
count-carry-problem-1,7,7,8,6,5,3467329,3758657,3816156,4151084
beat-the-sem,5,5,8,7,6,3278088,4091280,4740476,5001918
matching-strings-3,5,5,7,6,8,3465711,4056128,4336993,4671491
pattern,6,6,5,7,8,3149861,3681013,4146209,4569000
sauron-eye,8,8,5,6,7,7353159,7435211,8500409,8550109
37_B,5,5,8,6,7,2852489,3920794,4021488,4133153
439_A,8,8,5,6,7,3598261,3711876,4023645,4070212
monk-and-power-of-time,5,5,7,6,8,3167154,3487281,3592127,3703886
418_D,5,5,8,7,6,115439319,116039747,118544874,129628325
630_F,6,6,7,5,8,3359745,3425950,4076522,4591668
capture-castle,7,7,6,8,5,4297911,4496746,4508357,4669999
tic-tac-toe-numbers-3,5,5,7,6,8,3709661,3864409,4155777,4350408
alien-attack,7,7,5,8,6,3331608,3840631,4019315,4197392
630_J,7,7,6,5,8,3122577,3248155,3993738,4587589
the-colorful-street-1,6,6,7,8,5,3088265,3953051,3963078,4435032
479_B,5,5,8,7,6,3355490,3755893,3879298,4134590
mario-and-queen,5,5,6,7,8,3627788,3990097,4025294,4292441
find-pairs-7,5,5,8,6,7,186994647,187689912,189419504,189824408
487_A,7,7,6,5,8,3698451,3746790,3752654,5057829
546_A,6,6,8,5,7,3623797,3769444,4193231,4236398
652_D,6,6,5,7,8,3595757,3870468,4392537,4584651
11_A,6,6,8,5,7,3269857,3355355,3400438,3489098
valentines-day-surprise-gift,5,5,6,7,8,3803100,3872147,4122359,4284717
the-cipher,6,6,7,8,5,2860980,3423681,3873329,4792975
440_C,8,8,6,5,7,3641628,3741071,3928320,3988368
rational-number,6,6,5,8,7,2975124,4225734,4323136,4359938
513_A,6,6,7,5,8,3841852,3931792,4019783,4061430
sumit-and-rohil,5,5,6,8,7,3699294,3703624,4010063,4364404
cs-16-monmurder-1,8,8,5,7,6,3500099,4008448,4165661,4361345
e-world-of-trains,5,5,8,6,7,34213250,35814512,41841058,43489872
585_A,8,8,7,6,5,3926171,4083847,4195563,4445938
624_B,6,6,5,8,7,3749696,4118502,4399899,4483146
149_A,7,7,5,8,6,3143225,3164060,3620495,4612782
37_E,5,5,6,8,7,2842148,3697513,3952357,4158188
637_B,6,6,7,5,8,3558788,3697843,4180419,4750893
evil-string,7,7,6,8,5,243641046,243840527,245061070,248470798
intersection-1,6,6,5,8,7,4364565,4523580,4592887,5204177
398_B,5,5,6,7,8,2574752,3819710,3838942,4295104
lizzys-queries,8,8,6,7,5,4236429,4701532,4927510,5437532
the-art-of-verification,8,8,6,7,5,3270331,3709461,4043418,4457957
27_B,6,6,5,8,7,3183705,3522700,3865236,4169977
351_B,7,7,8,5,6,3027598,3208452,3213597,4075388
360_E,8,8,6,7,5,3904689,3946390,4155287,4267856
love-encoded,6,6,7,8,5,3548701,3743575,3768285,4169162
301_C,5,5,6,7,8,2736464,3039414,3722334,4296517
big-p-and-punishment-5,8,8,5,6,7,8245250,8385584,8796184,8855061
snack-ruiner,8,8,5,6,7,3335939,3497370,3544972,3562027
barbariks-special-arrows,5,5,6,7,8,4675928,5426406,5817252,5930771
magical-number-a-3,5,5,6,7,8,3487953,3626264,3729230,4087771
338_D,7,7,6,5,8,3257417,3545473,3715855,4169924
222_E,5,5,6,7,8,4689853,5197500,5237436,5289538
xenny-and-k-equal-triplets,6,6,7,5,8,2967329,3362552,3697161,3787832
107_B,5,5,7,8,6,3244002,3486321,3633930,4393167
93_C,7,7,5,8,6,3753512,4073569,4137060,4703724
271_C,8,8,7,6,5,3625871,3880083,4199016,4213643
abdul-and-apples,5,5,6,8,7,4222870,4742724,5153262,6408840
268_A,5,5,7,6,8,2879188,3747711,4096780,4336818
3_C,5,5,7,8,6,2837553,3476472,3583792,3884138
sandy-permutes-1,5,5,6,7,8,4031909,4089059,4097974,4579509
54_A,5,5,6,8,7,3033327,3196712,4320698,5251625
special-sum-3,6,6,8,5,7,4634961,4887868,4896847,5046968
circ-bear-and-random-vowels,7,7,5,6,8,36128449,42459635,42513719,44332633
267_C,5,5,6,8,7,2896925,3355915,3853262,4160176
car-parking-5,6,6,7,5,8,3301519,3488128,4112442,4603922
path-to-follow-on-grid-3,6,6,7,5,8,10937604,12158150,12291967,12565154
332_B,5,5,6,7,8,3100042,3506121,3774929,3967282
274_D,5,5,8,6,7,3282345,3372103,3565621,3856790
play-with-strings,5,5,6,7,8,2579688,3397975,3925316,4622951
44_C,5,5,6,8,7,3482442,3732739,4148209,4681904
frame-the-picture-2,6,6,5,8,7,623616762,624208648,625173079,642852686
509_A,7,7,5,6,8,3457586,3706231,3854079,4132715
n-objects,8,8,5,6,7,7988916,8497571,8738663,9876251
331_A2,6,6,5,7,8,3676484,3900687,4049758,4236483
259_A,5,5,8,6,7,3366917,3888858,4218817,4286014
micro-and-array-1,8,8,5,7,6,3319667,3602783,3608993,5126530
2_C,6,6,5,7,8,3371714,3486997,3820469,3905082
count-strings-1,7,7,8,6,5,3434052,3563829,4087644,4625105
409_D,5,5,6,8,7,2940266,3294924,3702031,3765246
633_A,6,6,7,5,8,3557797,3600133,4107396,4383089
lucky-numbers-20,7,7,8,5,6,3755664,4379408,5272255,5313150
171_A,6,6,5,7,8,2709636,3104401,4297578,4463051
11_D,6,6,8,5,7,3349689,4725123,4872141,4953073
ambar-the-gardener-b-1,6,6,5,7,8,233781483,233882813,236778899,239767967
dummy-4-1,7,7,6,5,8,3693123,3815730,3933381,4122464
690_D3,8,8,6,7,5,3936590,4291458,5203984,5244065
our-coach-and-messi,8,8,6,5,7,3443451,3585939,3587529,4039862
change-in-money,7,7,5,8,6,2998145,3484085,3655327,4460898
marut-vs-devil-army-1,5,5,6,8,7,4427874,4593353,5359600,5486726
the-collatz,6,6,7,8,5,2959210,3556142,3601276,4217020
504_E,5,5,7,8,6,4357044,4432427,4980062,5377591
311_E,5,5,6,7,8,2770965,3404315,3642518,3942674
38_A,5,5,8,7,6,3261271,3765398,3932171,4935375
the-magic,5,5,6,8,7,3796265,4238320,4405861,4670329
1_C,5,5,7,6,8,2983424,3372575,3668430,4024267
convo-clusters,7,7,8,5,6,2717186,3716073,4160134,4631637
count-carry-problem-6,7,7,8,6,5,3488782,3584352,3852709,4065065
293_C,5,5,6,8,7,2836813,3905383,4241432,4364118
12_A,5,5,8,7,6,3332323,3541604,3903539,4373566
375_E,5,5,7,6,8,3446836,3926109,4024699,4392663
357_A,8,8,7,6,5,3237677,3342428,3407731,4071178
crack-the-code,8,8,7,6,5,3498931,3531777,4247884,4709932
circle-intersection,5,5,8,6,7,3700769,4240095,4774953,4914655
242_A,5,5,7,6,8,3125291,3276677,4249569,4391954
589_G,5,5,8,7,6,3427315,3537253,3939578,4397335
37_A,5,5,6,8,7,2895206,4063635,4078541,4691250
a-to-the-power-b,8,8,5,7,6,3360381,3617659,4025250,4622498
three-sum-monk,5,5,7,8,6,7488355,7533605,9079037,9804100
game-of-perfectness,7,7,6,5,8,3238165,3391919,3805206,3831265
28_A,5,5,6,7,8,3400419,3431527,4032526,4049744
palin-pairs-3,7,7,5,6,8,4806317,5748771,5905794,7039407
19_A,7,7,6,5,8,3894446,3914568,3933155,4204547
shil-and-greedy-approach,5,5,6,7,8,3978502,4067482,4583603,5003008
coloring-problem,6,6,8,7,5,4573733,4640592,5136060,5836187
interval-count-12,5,5,8,6,7,3617810,3845855,3967274,4209634
bob-and-lines,8,8,7,6,5,5183661,5226755,5339446,7134865
276_E,5,5,6,8,7,7489146,7724244,7843847,8640176
enigma,6,6,8,7,5,5333054,6297773,7017593,7177159
counter-strike-vnevada,8,8,6,7,5,13297152,16030508,16209116,17300567
problem-5-7,6,6,8,5,7,9643915,10555085,12300065,15216494
213_B,5,5,7,6,8,3361171,3484096,3892935,3933323
collision,7,7,5,8,6,3310256,4121790,4199514,4202834
brio-and-his-house-10,7,7,8,5,6,3428956,3527829,4194124,4410597
appu-and-sugarcane-farm,8,8,6,7,5,2972691,3860331,3869533,5124778
counter-strike-12,8,8,7,6,5,8843189,10738001,11411588,12324129
productive-productivity,6,6,8,7,5,2936628,3795045,4468626,5365079
roy-and-wooden-log-3,6,6,5,7,8,3180766,3486084,4096295,4264577
lets-score-bowling,7,7,8,6,5,3037185,3581014,4108813,4674598
problem-of-bilocation,7,7,8,6,5,20075244,20965456,21002146,27560519
dipu-and-interesting-numbers-2,6,6,8,5,7,3633550,3928009,4085192,4592611
second-sons-join-unsullied-2,7,7,5,6,8,3751380,3863989,4664911,5627648
the-cakes-walk-3,7,7,6,8,5,31487089,31983621,32411043,33915030
akash-and-gcd-1-15,8,8,6,5,7,52591154,53896436,54271457,55584876
652_A,6,6,5,7,8,3609887,4022404,4190833,4242180
506_E,7,7,6,8,5,13787225,14463143,15936359,16771837
42_D,5,5,8,7,6,3032098,3523453,3543525,3785239
665_B,7,7,8,5,6,3553255,3640849,4860048,4945871
xenny-and-travel-icpc-8,6,6,8,7,5,3242531,3266532,3706491,3895273
third,6,6,7,5,8,4354269,4777006,5157140,5315308
lucky-number,6,6,8,7,5,11126891,11194030,11400276,13074095
597_A,5,5,7,8,6,3894839,4516191,5045522,5768000
one-way-or-another-juneclash-3,6,6,7,5,8,14837092,16784903,18487950,19288926
380_A,5,5,6,7,8,3021102,3950290,4173269,4392071
ram-in-the-hostel-mess-6,7,7,6,5,8,3386468,3402564,4406429,5141847
covering-chessboard,8,8,7,6,5,3767292,4579402,4778723,4866757
monk-and-his-friend,6,6,5,7,8,3569853,4001101,4099592,4551758
abc-string-61,8,8,5,7,6,158871781,159771933,161120928,164135660
165_D,7,7,8,5,6,6913239,6968843,7614978,8759625
in-love-with-primes,5,5,7,8,6,3173360,3384736,3918630,4087279
